step,tcp_x,tcp_y,tcp_z,contact_force,cleaned_ratio
0,-0.0448,0.1646,0.8369,0.0000,0.0000
1,-0.0518,0.1672,0.8287,0.0000,0.0000
2,-0.0478,0.1392,0.8447,0.0000,0.0000
3,-0.0659,0.1618,0.8441,0.0000,0.0000
4,-0.0700,0.1974,0.8664,0.0000,0.0000
5,-0.0781,0.2148,0.8605,0.0000,0.0000
6,-0.0704,0.1878,0.8586,0.0000,0.0000
7,-0.0675,0.1737,0.8520,0.0000,0.0000
8,-0.0717,0.1810,0.8622,0.0000,0.0000
9,-0.0532,0.1580,0.8793,0.0000,0.0000
10,-0.0517,0.1444,0.8751,0.0000,0.0000
11,-0.0472,0.1375,0.8631,0.0000,0.0000
12,-0.0496,0.1120,0.8637,0.0000,0.0000
13,-0.0512,0.0961,0.8550,0.0000,0.0000
14,-0.0329,0.1079,0.8654,0.0000,0.0000
15,-0.0261,0.1112,0.8468,0.0000,0.0000
16,-0.0222,0.1421,0.8467,0.0000,0.0000
17,-0.0123,0.1318,0.8700,0.0000,0.0000
18,-0.0052,0.1227,0.8862,0.0000,0.0000
19,-0.0136,0.1376,0.8978,0.0000,0.0000
20,-0.0204,0.1420,0.8731,0.0000,0.0000
21,-0.0272,0.1325,0.8699,0.0000,0.0000
22,-0.0366,0.1348,0.8713,0.0000,0.0000
23,-0.0425,0.1285,0.8808,0.0000,0.0000
24,-0.0315,0.1204,0.8966,0.0000,0.0000
25,-0.0404,0.1016,0.8650,0.0000,0.0000
26,-0.0381,0.1189,0.8952,0.0000,0.0000
27,-0.0395,0.1346,0.8850,0.0000,0.0000
28,-0.0365,0.1373,0.8874,0.0000,0.0000
29,-0.0399,0.1223,0.8552,0.0000,0.0000
30,-0.0414,0.0880,0.8547,0.0000,0.0000
31,-0.0537,0.1197,0.8503,0.0000,0.0000
32,-0.0559,0.1226,0.8490,0.0000,0.0000
33,-0.0761,0.1587,0.8514,0.0000,0.0000
34,-0.0615,0.1700,0.8687,0.0000,0.0000
35,-0.0414,0.1483,0.8856,0.0000,0.0000
36,-0.0436,0.1447,0.8771,0.0000,0.0000
37,-0.0524,0.1513,0.8671,0.0000,0.0000
38,-0.0625,0.1582,0.8381,0.0000,0.0000
39,-0.0809,0.1670,0.8338,0.0000,0.0000
40,-0.0924,0.1797,0.8213,0.0000,0.0000
41,-0.0817,0.1803,0.8212,0.0000,0.0000
42,-0.0878,0.1982,0.8440,0.0000,0.0000
43,-0.0958,0.2109,0.8185,0.0000,0.0000
44,-0.0855,0.2205,0.8476,0.0000,0.0000
45,-0.0577,0.2087,0.8625,0.0000,0.0000
46,-0.0397,0.2015,0.8857,0.0000,0.0000
47,-0.0346,0.2129,0.8747,0.0000,0.0000
48,-0.0437,0.2074,0.8476,0.0000,0.0000
49,-0.0484,0.1822,0.8473,0.0000,0.0000
50,-0.0515,0.1683,0.8356,0.0000,0.0000
51,-0.0749,0.1889,0.8256,0.0000,0.0000
52,-0.0820,0.1816,0.8141,0.0000,0.0000
53,-0.0684,0.1788,0.8134,0.0000,0.0000
54,-0.0741,0.2030,0.8184,0.0000,0.0000
55,-0.0685,0.2186,0.8179,0.0000,0.0000
56,-0.0414,0.1853,0.8265,0.0000,0.0000
57,-0.0244,0.1838,0.8579,0.0000,0.0000
58,-0.0125,0.1726,0.8870,0.0000,0.0000
59,0.0011,0.1535,0.9032,0.0000,0.0000
60,-0.0073,0.1381,0.9071,0.0000,0.0000
61,-0.0139,0.1462,0.9139,0.0000,0.0000
62,-0.0083,0.1479,0.8804,0.0000,0.0000
