step,u,v,cell_i,cell_j,delta_clean,cleaned_ratio
0,0.050,0.050,0,0,4,0.0400
1,0.150,0.050,0,1,2,0.0600
2,0.250,0.050,0,2,2,0.0800
3,0.350,0.050,0,3,2,0.1000
4,0.450,0.050,0,4,2,0.1200
5,0.550,0.050,0,5,2,0.1400
6,0.650,0.050,0,6,2,0.1600
7,0.750,0.050,0,7,2,0.1800
8,0.850,0.050,0,8,2,0.2000
9,0.950,0.050,0,9,0,0.2000
10,0.950,0.150,1,9,2,0.2200
11,0.850,0.150,1,8,1,0.2300
12,0.750,0.150,1,7,1,0.2400
13,0.650,0.150,1,6,1,0.2500
14,0.550,0.150,1,5,1,0.2600
15,0.450,0.150,1,4,1,0.2700
16,0.350,0.150,1,3,1,0.2800
17,0.250,0.150,1,2,1,0.2900
18,0.150,0.150,1,1,1,0.3000
19,0.050,0.150,1,0,0,0.3000
20,0.050,0.250,2,0,2,0.3200
21,0.150,0.250,2,1,1,0.3300
22,0.250,0.250,2,2,1,0.3400
23,0.350,0.250,2,3,1,0.3500
24,0.450,0.250,2,4,1,0.3600
25,0.550,0.250,2,5,1,0.3700
26,0.650,0.250,2,6,1,0.3800
27,0.750,0.250,2,7,1,0.3900
28,0.850,0.250,2,8,1,0.4000
29,0.950,0.250,2,9,0,0.4000
30,0.950,0.350,3,9,2,0.4200
31,0.850,0.350,3,8,1,0.4300
32,0.750,0.350,3,7,1,0.4400
33,0.650,0.350,3,6,1,0.4500
34,0.550,0.350,3,5,1,0.4600
35,0.450,0.350,3,4,1,0.4700
36,0.350,0.350,3,3,1,0.4800
37,0.250,0.350,3,2,1,0.4900
38,0.150,0.350,3,1,1,0.5000
39,0.050,0.350,3,0,0,0.5000
40,0.050,0.450,4,0,2,0.5200
41,0.150,0.450,4,1,1,0.5300
42,0.250,0.450,4,2,1,0.5400
43,0.350,0.450,4,3,1,0.5500
44,0.450,0.450,4,4,1,0.5600
45,0.550,0.450,4,5,1,0.5700
46,0.650,0.450,4,6,1,0.5800
47,0.750,0.450,4,7,1,0.5900
48,0.850,0.450,4,8,1,0.6000
49,0.950,0.450,4,9,0,0.6000
50,0.950,0.550,5,9,2,0.6200
51,0.850,0.550,5,8,1,0.6300
52,0.750,0.550,5,7,1,0.6400
53,0.650,0.550,5,6,1,0.6500
54,0.550,0.550,5,5,1,0.6600
55,0.450,0.550,5,4,1,0.6700
56,0.350,0.550,5,3,1,0.6800
57,0.250,0.550,5,2,1,0.6900
58,0.150,0.550,5,1,1,0.7000
59,0.050,0.550,5,0,0,0.7000
60,0.050,0.650,6,0,2,0.7200
61,0.150,0.650,6,1,1,0.7300
62,0.250,0.650,6,2,1,0.7400
63,0.350,0.650,6,3,1,0.7500
64,0.450,0.650,6,4,1,0.7600
65,0.550,0.650,6,5,1,0.7700
66,0.650,0.650,6,6,1,0.7800
67,0.750,0.650,6,7,1,0.7900
68,0.850,0.650,6,8,1,0.8000
69,0.950,0.650,6,9,0,0.8000
70,0.950,0.750,7,9,2,0.8200
71,0.850,0.750,7,8,1,0.8300
72,0.750,0.750,7,7,1,0.8400
73,0.650,0.750,7,6,1,0.8500
74,0.550,0.750,7,5,1,0.8600
75,0.450,0.750,7,4,1,0.8700
76,0.350,0.750,7,3,1,0.8800
77,0.250,0.750,7,2,1,0.8900
78,0.150,0.750,7,1,1,0.9000
79,0.050,0.750,7,0,0,0.9000
80,0.050,0.850,8,0,2,0.9200
81,0.150,0.850,8,1,1,0.9300
82,0.250,0.850,8,2,1,0.9400
83,0.350,0.850,8,3,1,0.9500
84,0.450,0.850,8,4,1,0.9600
85,0.550,0.850,8,5,1,0.9700
86,0.650,0.850,8,6,1,0.9800
87,0.750,0.850,8,7,1,0.9900
88,0.850,0.850,8,8,1,1.0000
89,0.950,0.850,8,9,0,1.0000
90,0.950,0.950,9,9,0,1.0000
91,0.850,0.950,9,8,0,1.0000
92,0.750,0.950,9,7,0,1.0000
93,0.650,0.950,9,6,0,1.0000
94,0.550,0.950,9,5,0,1.0000
95,0.450,0.950,9,4,0,1.0000
96,0.350,0.950,9,3,0,1.0000
97,0.250,0.950,9,2,0,1.0000
98,0.150,0.950,9,1,0,1.0000
99,0.050,0.950,9,0,0,1.0000
